,epoch_mjd,a,e,i,om,w,ma,spkid,per_y,sigma_e,sigma_a,sigma_i,sigma_om,sigma_w,sigma_per,full_name,number_mp,designation
28,59800,1.599,0.5031,23.07,191.13,290.98,172.61,2002135,2.02,1.3e-06,7.9e-08,5.1e-05,0.00034,0.00016,5.5e-05,  2135 Aristaeus (1977 HA),2135,Aristaeus (1977 HA)
29,59800,2.175,0.7128,2.52,74.96,98.29,89.03,2002201,3.21,3.1e-08,8.8e-09,3.8e-06,0.00011,0.00011,7.1e-06,  2201 Oljato (1947 XC),2201,Oljato (1947 XC)
30,59800,2.291,0.5126,8.74,169.93,217.92,128.55,2002202,3.47,4.7e-08,2.5e-09,5.9e-06,3.3e-05,3.4e-05,2e-06,  2202 Pele (1972 RA),2202,Pele (1972 RA)
31,59800,2.16,0.8373,11.54,27.51,209.41,297.44,2002212,3.17,1.8e-08,5.2e-09,2.1e-06,8.7e-06,8.6e-06,4.2e-06,  2212 Hephaistos (1978 SB),2212,Hephaistos (1978 SB)
32,59800,2.409,0.6539,24.48,169.27,146.08,115.22,2002329,3.74,2.5e-08,6.4e-09,4.6e-06,9e-06,9.3e-06,5.4e-06,  2329 Orthos (1976 WA),2329,Orthos (1976 WA)
33,59800,0.8438,0.4499,5.86,211.31,40.09,116.13,2002340,0.775,4e-08,2.3e-09,5.1e-06,1.5e-05,1.6e-05,1.2e-06,  2340 Hathor (1976 UA),2340,Hathor (1976 UA)
34,59800,2.105,0.4133,5.22,287.32,43.09,260.44,2002368,3.06,6.4e-08,5.3e-09,4.6e-06,4.8e-05,5e-05,4.2e-06,  2368 Beltrovata (1977 RA),2368,Beltrovata (1977 RA)
35,59800,2.519,0.5707,14.67,167.33,37.44,77.52,2002608,4.0,1.4e-07,1.7e-08,1.8e-05,4e-05,0.00012,1.5e-05,  2608 Seneca (1978 DA),2608,Seneca (1978 DA)
36,59800,2.151,0.4496,8.44,172.05,154.81,351.74,2003102,3.15,1.6e-08,1.6e-09,2.5e-06,2.2e-05,2.2e-05,1.3e-06,  3102 Krok (1981 QA),3102,Krok (1981 QA)
37,59800,1.404,0.3542,20.93,129.75,254.08,190.19,2003103,1.66,1e-08,2.9e-10,1e-06,1.9e-06,2.8e-06,1.9e-07,  3103 Eger (1982 BB),3103,Eger (1982 BB)
38,59800,1.769,0.4233,22.14,336.06,27.86,25.58,2003122,2.35,5.9e-09,3.8e-09,1.8e-06,1.2e-06,3.9e-06,2.8e-06,  3122 Florence (1981 ET3),3122,Florence (1981 ET3)
39,59800,1.575,0.2841,32.96,339.99,53.39,39.91,2003199,1.98,3e-08,2.1e-09,1.3e-06,1.5e-06,7.3e-06,1.4e-06,  3199 Nefertiti (1982 RA),3199,Nefertiti (1982 RA)
40,59800,1.271,0.8898,22.26,265.22,322.18,59.0,2003200,1.43,9.1e-10,1.2e-09,2.9e-07,8.1e-07,7.5e-07,7.4e-07,  3200 Phaethon (1983 TB),3200,Phaethon (1983 TB)
41,59800,2.101,0.3961,25.08,158.81,159.11,45.68,2003271,3.05,1.1e-07,3.3e-08,1.3e-05,1.2e-05,7.9e-05,2.6e-05,  3271 Ul (1982 RB),3271,Ul (1982 RB)
42,59800,2.033,0.4563,5.93,218.62,349.28,329.28,2003288,2.9,2.5e-08,2.4e-09,2.9e-06,3e-05,3e-05,1.8e-06,  3288 Seleucus (1982 DV),3288,Seleucus (1982 DV)
43,59800,1.879,0.369,4.77,107.34,16.13,41.57,2003352,2.58,1.9e-08,2.6e-09,2.3e-06,4.1e-05,4.2e-05,1.9e-06,  3352 McAuliffe (1981 CW),3352,McAuliffe (1981 CW)
44,59800,2.467,0.7458,21.15,242.5,63.54,206.13,2003360,3.87,3.2e-08,8.6e-09,8.7e-06,1.6e-05,1.6e-05,7.4e-06,  3360 Syrinx (1981 VA),3360,Syrinx (1981 VA)
45,59800,1.21,0.323,2.66,188.68,302.36,152.43,2003361,1.33,3.7e-08,1.8e-09,2.3e-06,3.6e-05,3.6e-05,1.1e-06,  3361 Orpheus (1982 HR),3361,Orpheus (1982 HR)
46,59800,0.9895,0.4686,9.92,152.43,55.05,278.85,2003362,0.984,5.7e-07,1.3e-08,1.2e-05,5.8e-05,4.8e-05,6.9e-06,  3362 Khufu (1984 QA),3362,Khufu (1984 QA)
47,59800,2.092,0.4873,9.51,173.79,193.28,302.59,2003551,3.03,7.4e-08,1.1e-08,4.9e-06,3.1e-05,3.7e-05,8.6e-06,  3551 Verenia (1983 RD),3551,Verenia (1983 RD)
48,59800,4.264,0.7084,31.1,349.92,316.6,173.97,2003552,8.81,2.7e-08,2e-08,5.2e-06,9.3e-06,9.1e-06,2.3e-05,  3552 Don Quixote (1983 SA),3552,Don Quixote (1983 SA)
49,59800,1.645,0.3201,36.78,232.49,288.92,275.76,2003553,2.11,4.3e-08,4.6e-09,7.4e-06,8.4e-06,1.6e-05,3.2e-06,  3553 Mera (1985 JA),3553,Mera (1985 JA)
50,59800,0.974,0.2807,23.36,358.61,359.41,126.31,2003554,0.961,2.3e-08,1.3e-09,2e-06,2.5e-06,8.7e-06,7e-07,  3554 Amun (1986 EB),3554,Amun (1986 EB)
51,59800,2.199,0.5411,13.53,82.07,204.3,249.8,2003671,3.26,2.1e-08,1.7e-09,4.7e-06,1.4e-05,1.4e-05,1.4e-06,  3671 Dionysus (1984 KD),3671,Dionysus (1984 KD)
52,59800,1.774,0.2841,20.36,348.74,234.89,11.69,2003691,2.36,6.5e-09,2.7e-09,7.8e-07,1.7e-06,2.9e-06,2e-06,  3691 Bede (1982 FT),3691,Bede (1982 FT)
53,59800,1.414,0.3015,55.56,147.96,312.22,259.63,2003752,1.68,8.3e-09,7.1e-10,1.2e-06,1.1e-06,1.3e-06,4.6e-07,  3752 Camillo (1985 PA),3752,Camillo (1985 PA)
54,59800,0.9978,0.515,19.8,126.21,43.87,237.63,2003753,0.997,6.4e-08,1.2e-09,2.9e-06,9.2e-06,1.1e-05,6.4e-07,  3753 Cruithne (1986 TO),3753,Cruithne (1986 TO)
55,59800,1.835,0.4455,3.87,74.93,17.22,336.45,2003757,2.49,5.2e-08,2.4e-09,6.7e-06,7e-05,7.3e-05,1.8e-06,  3757 Anagolay (1982 XB),3757,Anagolay (1982 XB)
