,epoch_mjd,a,e,i,om,w,ma,spkid,per_y,sigma_e,sigma_a,sigma_i,sigma_om,sigma_w,sigma_per,full_name,number_mp,designation
9131,56066,1.819,0.3877,7.1,64.16,173.56,0.28,3604303,2.45,0.0041,0.014,0.056,0.0024,0.018,10.0,       (2012 KZ3),       (2012 KZ3),
9132,59800,1.1,0.7798,5.8,214.9,237.5,350.79,3604304,1.15,8.5e-08,1.2e-08,1.3e-05,8.4e-05,7.4e-05,7e-06,       (2012 KA4),       (2012 KA4),
9133,59800,1.094,0.0615,6.31,60.3,278.04,246.31,3604305,1.14,1.3e-07,2.7e-09,1.4e-05,1.4e-05,0.00015,1.6e-06,       (2012 KB4),       (2012 KB4),
9134,56067,1.362,0.3134,8.08,63.34,105.63,38.0,3604306,1.59,0.0024,0.0045,0.055,0.016,0.06,2.9,       (2012 KB6),       (2012 KB6),
9135,59800,1.241,0.2464,11.32,195.37,338.0,184.21,3604307,1.38,9.4e-08,7.4e-09,7.2e-06,5.2e-05,4.8e-05,4.5e-06,       (2012 KC6),       (2012 KC6),
9136,56070,2.091,0.5256,12.12,237.66,28.99,352.86,3604308,3.02,0.00096,0.0042,0.015,0.0032,0.0024,3.3,       (2012 KD6),       (2012 KD6),
9137,59800,1.786,0.3992,5.14,242.94,357.96,100.58,3604480,2.39,0.00025,0.00081,0.0024,0.00032,0.00069,0.6,       (2012 KK11),       (2012 KK11),
9138,59800,2.135,0.4147,27.71,241.21,307.23,119.1,3604481,3.12,8e-05,0.00033,0.0027,0.00013,0.002,0.26,       (2012 KL11),       (2012 KL11),
9139,59800,1.376,0.2682,8.4,54.48,250.02,78.9,3604482,1.61,0.00043,0.00081,0.013,0.0016,0.0079,0.52,       (2012 KM11),       (2012 KM11),
9140,59800,2.097,0.6559,5.43,261.15,238.09,156.89,3604483,3.04,0.00019,0.00082,0.0016,0.0015,0.0014,0.65,       (2012 KN11),       (2012 KN11),
9141,59800,1.062,0.1241,16.34,59.11,289.24,25.49,3604484,1.09,0.00029,0.0004,0.044,0.00022,0.11,0.23,       (2012 KO11),       (2012 KO11),
9142,59800,1.239,0.1915,1.71,235.28,27.11,105.08,3604617,1.38,2.4e-08,1.2e-08,2.7e-06,1.7e-05,3.3e-05,7.2e-06,       (2012 KT12),       (2012 KT12),
9143,59800,1.638,0.4886,8.63,53.07,74.4,7.64,3604618,2.1,8.5e-06,2.3e-05,0.00012,4.9e-05,0.00024,0.016,       (2012 KU12),       (2012 KU12),
9144,59800,2.178,0.4541,9.49,106.29,182.62,55.67,3604838,3.21,3.6e-07,6e-07,2.1e-05,0.00013,9.7e-05,0.00049,       (2012 KJ18),       (2012 KJ18),
9145,59800,2.742,0.5522,16.28,118.82,220.77,72.24,3604839,4.54,5.1e-08,1.3e-08,8.3e-06,1.7e-05,2.3e-05,1.2e-05,       (2012 KK18),       (2012 KK18),
9146,59800,2.225,0.4419,19.45,289.69,284.16,42.57,3604840,3.32,8.6e-08,9.9e-09,2.1e-05,1.8e-05,3.6e-05,8.1e-06,       (2012 KL18),       (2012 KL18),
9147,59800,1.701,0.2991,6.15,219.01,23.57,213.81,3604841,2.22,0.00013,0.00038,0.0015,0.002,0.0033,0.27,       (2012 KM18),       (2012 KM18),
9148,56074,2.688,0.6314,2.18,178.57,102.8,353.27,3604842,4.41,0.0013,0.0095,0.0039,0.015,0.01,8.6,       (2012 KN18),       (2012 KN18),
9149,56072,2.217,0.6589,5.75,221.44,94.96,344.57,3604843,3.3,0.0034,0.02,0.032,0.0011,0.0047,16.0,       (2012 KO18),       (2012 KO18),
9150,59800,1.498,0.3693,18.47,67.44,221.51,182.83,3604990,1.83,8.8e-05,0.00017,0.0035,8e-05,0.004,0.11,       (2012 KP24),       (2012 KP24),
9151,59800,1.659,0.7621,11.39,277.19,175.93,312.85,3605005,2.14,5.2e-07,8.1e-08,1.7e-05,9.3e-05,0.00014,5.7e-05,       (2012 KE25),       (2012 KE25),
9152,59800,0.9876,0.0498,16.94,64.86,336.54,345.84,3605006,0.981,3.1e-05,6.3e-05,0.02,0.0017,0.055,0.034,       (2012 KF25),       (2012 KF25),
9153,56067,2.357,0.6187,4.44,48.8,251.72,346.69,3605162,3.62,0.012,0.063,0.075,0.12,0.5,53.0,       (2012 KX41),       (2012 KX41),
9154,59800,2.303,0.6031,1.64,92.07,203.15,318.59,3605164,3.5,9.8e-08,3.5e-08,1.7e-05,0.00031,0.00031,2.9e-05,       (2012 KZ41),       (2012 KZ41),
9155,56074,1.307,0.2508,6.16,246.0,316.43,26.05,3605165,1.49,0.0011,0.0097,0.09,0.0039,2.9,6.1,       (2012 KA42),       (2012 KA42),
9156,59800,1.598,0.5548,2.19,69.48,259.14,352.62,3605257,2.02,3.9e-05,6.9e-05,0.0004,7.2e-05,0.0028,0.048,       (2012 KT42),       (2012 KT42),
9157,59800,1.177,0.1813,8.66,247.75,310.08,27.11,3605306,1.28,0.00028,0.00035,0.012,0.005,0.03,0.21,       (2012 KC45),       (2012 KC45),
9158,59800,2.27,0.5908,28.17,95.2,158.56,348.38,3605319,3.42,6.9e-08,1e-07,2.9e-05,2.7e-05,4.5e-05,8.4e-05,       (2012 KM45),       (2012 KM45),
9159,59800,1.092,0.3379,11.89,148.33,218.58,255.48,3605335,1.14,2.6e-08,1.3e-09,5.4e-06,1.2e-05,1.7e-05,7.5e-07,       (2012 KF47),       (2012 KF47),
9160,59800,1.04,0.0216,3.16,234.09,79.43,155.86,3605334,1.06,1.6e-07,3.3e-06,9.1e-06,2.1e-05,0.00026,0.0018,       (2012 LA),       (2012 LA),
9161,59800,2.325,0.6991,0.69,238.89,96.51,299.38,3605539,3.54,0.00039,0.0025,0.0005,0.0055,0.0057,2.1,       (2012 LJ),       (2012 LJ),
9162,59800,2.313,0.5525,5.44,77.49,189.84,319.33,3605558,3.52,0.00025,0.0014,0.0078,0.03,0.041,1.2,       (2012 LT),       (2012 LT),
9163,59800,1.528,0.3342,3.12,88.59,201.06,120.67,3605559,1.89,0.00016,0.00036,0.0011,4.1e-05,0.00034,0.25,       (2012 LU),       (2012 LU),
9164,59800,1.189,0.1178,15.24,246.12,303.25,358.11,3605565,1.3,3.3e-07,2.6e-08,1.7e-05,1.8e-05,6.5e-05,1.6e-05,       (2012 LD1),       (2012 LD1),
9165,56090,1.51,0.3299,20.0,76.91,224.58,338.53,3605566,1.86,0.0035,0.0082,0.14,0.02,0.096,5.5,       (2012 LP1),       (2012 LP1),
9166,59800,1.337,0.3814,42.32,83.09,66.58,271.06,3605576,1.55,2.4e-07,5.4e-08,4e-05,7.3e-06,4.9e-05,3.4e-05,       (2012 LR1),       (2012 LR1),
9167,59800,2.557,0.59,26.1,264.51,14.31,170.9,3605577,4.09,2.1e-08,8.4e-08,1.1e-05,2.1e-06,3.4e-05,7.4e-05,       (2012 LZ1),       (2012 LZ1),
9168,56091,1.789,0.5345,34.32,86.75,94.64,26.07,3605578,2.39,0.0012,0.0049,0.054,0.0034,0.069,3.6,       (2012 LJ2),       (2012 LJ2),
9169,59800,2.294,0.8389,33.08,109.35,24.18,3.34,3605579,3.48,1.6e-07,7.1e-08,3.2e-05,2e-05,2.9e-05,5.9e-05,       (2012 LK2),       (2012 LK2),
9170,59800,1.271,0.2613,5.82,252.26,73.25,353.42,3605596,1.43,0.00054,0.00071,0.016,0.029,0.012,0.44,       (2012 LF4),       (2012 LF4),
9171,59800,1.131,0.3103,14.17,262.62,100.47,94.03,3605597,1.2,0.00054,0.00051,0.028,0.0014,0.014,0.3,       (2012 LG4),       (2012 LG4),
9172,56094,2.341,0.5292,10.21,89.52,201.21,352.21,3605663,3.58,0.00098,0.0051,0.013,0.0041,0.003,4.3,       (2012 LQ7),       (2012 LQ7),
9173,59800,1.079,0.7602,42.25,111.92,358.54,78.04,3605664,1.12,1.8e-07,7.7e-09,2.7e-05,1.1e-05,1.4e-05,4.4e-06,       (2012 LT7),       (2012 LT7),
9174,59800,2.44,0.5499,8.98,153.7,179.66,218.63,3605665,3.81,4.9e-08,8.5e-08,4.5e-06,1.6e-05,2.1e-05,7.3e-05,       (2012 LU7),       (2012 LU7),
9175,59800,1.331,0.2185,8.64,91.19,123.01,254.04,3605727,1.54,0.00012,0.00022,0.0042,0.0016,0.0026,0.14,       (2012 LW7),       (2012 LW7),
9176,59800,2.711,0.7319,35.2,129.47,205.86,83.73,3605730,4.46,1e-07,2.3e-08,3.3e-05,9.4e-05,7.9e-05,2.1e-05,       (2012 LL9),       (2012 LL9),
9177,59800,0.9864,0.0962,5.13,260.42,241.76,237.35,3605745,0.98,9e-06,8.6e-07,0.00049,0.00032,0.00074,0.00047,       (2012 LA11),       (2012 LA11),
9178,59800,2.792,0.6007,10.32,181.47,133.93,50.26,3605759,4.67,3.5e-08,7.4e-08,7.6e-06,2.9e-05,3.1e-05,6.7e-05,       (2012 LE11),       (2012 LE11),
9179,59800,2.012,0.3959,36.97,251.14,352.42,209.67,3605761,2.85,1.9e-07,1.1e-07,3.3e-05,1.7e-05,2.6e-05,8.7e-05,       (2012 LG11),       (2012 LG11),
9180,59800,1.395,0.3046,29.03,259.35,286.71,103.65,3605762,1.65,0.00018,0.0004,0.011,0.00052,0.017,0.26,       (2012 LH11),       (2012 LH11),
9181,59800,2.565,0.5639,25.88,260.36,338.58,175.04,3605763,4.11,0.0003,0.0018,0.0069,0.0005,0.0016,1.5,       (2012 LJ11),       (2012 LJ11),
9182,59800,2.428,0.5935,5.15,152.19,159.99,236.06,3605764,3.78,1e-07,1.9e-07,9.3e-06,0.00019,0.00018,0.00016,       (2012 LK11),       (2012 LK11),
9183,59800,2.185,0.4264,5.43,94.28,201.46,37.46,3605791,3.23,0.00029,0.0013,0.0026,0.0026,0.011,1.1,       (2012 LC13),       (2012 LC13),
9184,56097,2.425,0.7184,4.87,147.28,17.77,18.02,3605792,3.78,0.00073,0.0059,0.0054,0.051,0.059,5.0,       (2012 LD13),       (2012 LD13),
9185,59800,1.33,0.0875,14.53,268.52,21.43,207.46,3605793,1.53,3.6e-07,5.6e-08,2.8e-05,2.3e-05,0.00018,3.6e-05,       (2012 MP),       (2012 MP),
9186,59800,2.108,0.4821,7.74,86.01,213.12,103.8,3605794,3.06,1.6e-07,1.9e-07,1.3e-05,2.7e-05,9.8e-05,0.00015,       (2012 MQ),       (2012 MQ),
9187,59800,1.67,0.3968,36.17,89.21,124.75,269.9,3605840,2.16,0.00047,0.0014,0.016,0.005,0.03,1.0,       (2012 MW1),       (2012 MW1),
9188,59800,2.215,0.4522,3.84,79.56,253.03,7.04,3605841,3.3,1.4e-05,6.6e-05,8.4e-05,0.00031,0.00046,0.053,       (2012 MN2),       (2012 MN2),
9189,56098,0.8222,0.4863,5.33,266.31,204.88,135.32,3605858,0.746,0.003,0.00068,0.054,0.051,0.08,0.34,       (2012 MX2),       (2012 MX2),
9190,59800,1.26,0.2039,0.18,202.05,97.24,38.16,3605859,1.42,2.6e-06,3.8e-06,7.9e-06,0.0071,0.007,0.0023,       (2012 MY2),       (2012 MY2),
9191,59800,0.9373,0.4666,13.43,220.1,280.02,173.73,3605885,0.908,3.1e-07,1.4e-08,1.1e-05,7.5e-05,5.8e-05,7.3e-06,       (2012 MO3),       (2012 MO3),
9192,59800,1.366,0.1782,7.95,270.57,29.84,108.85,3605886,1.6,1.6e-07,4.1e-08,9.1e-06,4.1e-05,8.7e-05,2.6e-05,       (2012 MQ3),       (2012 MQ3),
9193,59800,1.604,0.6716,53.13,286.31,171.08,235.41,3605889,2.03,4.7e-07,5.5e-08,9.5e-05,1.4e-05,4.2e-05,3.8e-05,       (2012 MR4),       (2012 MR4),
9194,59800,2.265,0.7207,67.67,265.84,257.57,11.54,3605890,3.41,2.2e-08,6.9e-09,2e-05,2.7e-06,8e-06,5.7e-06,       (2012 MS4),       (2012 MS4),
9195,59800,2.15,0.5246,6.48,256.23,60.7,65.13,3605891,3.15,7.2e-08,1.8e-07,1.2e-05,6.5e-05,8.9e-05,0.00014,       (2012 MV4),       (2012 MV4),
9196,59800,1.823,0.4896,9.22,82.34,127.1,64.24,3605900,2.46,1.4e-07,8.3e-08,3.2e-05,0.00014,6.1e-05,6.1e-05,       (2012 MJ6),       (2012 MJ6),
9197,59800,2.642,0.5331,2.73,327.0,303.46,131.66,3605901,4.29,8.8e-08,7.3e-08,9.5e-06,7.8e-05,8.2e-05,6.5e-05,       (2012 MK6),       (2012 MK6),
9198,59800,1.515,0.4534,9.5,120.68,83.37,189.71,3605902,1.86,1.8e-07,5.3e-08,1.8e-05,3.6e-05,4.7e-05,3.6e-05,       (2012 ML6),       (2012 ML6),
9199,59800,2.756,0.5398,13.49,101.0,219.08,60.58,3605937,4.58,2.3e-07,9.2e-08,1.2e-05,5.8e-05,7.8e-05,8.4e-05,       (2012 MS6),       (2012 MS6),
9200,56106,2.141,0.712,1.36,317.2,225.05,19.56,3605940,3.13,0.0028,0.017,0.0084,0.086,0.063,13.0,       (2012 MZ6),       (2012 MZ6),
9201,59800,3.081,0.6547,25.2,246.2,18.5,313.6,3605941,5.41,5.1e-05,0.00047,0.00085,0.00066,0.0002,0.45,       (2012 MA7),       (2012 MA7),
9202,59800,1.261,0.2722,20.04,262.54,82.37,5.32,3605942,1.42,9.7e-08,1.7e-08,6.8e-05,2e-05,4.6e-05,1e-05,       (2012 MB7),       (2012 MB7),
9203,59800,2.428,0.5654,29.32,111.53,113.98,252.61,3605943,3.78,0.00031,0.0018,0.0081,0.0031,0.01,1.6,       (2012 MC7),       (2012 MC7),
9204,59800,0.977,0.1088,3.76,266.15,135.39,53.67,3605944,0.966,0.00069,0.00041,0.03,0.0088,0.3,0.22,       (2012 MD7),       (2012 MD7),
9205,59800,2.452,0.5456,11.49,269.16,71.26,212.55,3605945,3.84,1.1e-05,5.9e-05,0.00015,0.00011,0.00017,0.051,       (2012 ME7),       (2012 ME7),
9206,59800,1.475,0.3835,1.97,90.68,127.66,260.72,3605946,1.79,0.00043,0.00072,0.0038,0.36,0.34,0.48,       (2012 MF7),       (2012 MF7),
9207,59800,1.557,0.2545,13.42,277.92,312.0,105.82,3605947,1.94,6.8e-07,1e-07,2.6e-05,3.1e-05,0.00021,7.1e-05,       (2012 MG7),       (2012 MG7),
9208,59800,2.575,0.627,4.63,237.52,6.33,165.28,3606220,4.13,1.7e-07,5.8e-07,1.6e-05,0.00034,0.00038,0.00051,       (2012 NN),       (2012 NN),
9209,59800,1.243,0.425,43.68,289.58,117.17,37.77,3606221,1.39,0.00022,0.00082,0.027,0.0052,0.053,0.5,       (2012 NO),       (2012 NO),
9210,56128,1.878,0.7581,11.45,255.06,151.08,337.69,3606223,2.57,0.00057,0.0031,0.017,0.023,0.018,2.3,       (2012 NQ),       (2012 NQ),
9211,59800,1.697,0.3835,4.84,160.9,179.9,180.99,3606252,2.21,3.7e-08,1.1e-07,3.6e-06,3.6e-05,3.2e-05,7.8e-05,       (2012 OO),       (2012 OO),
9212,59800,1.191,0.395,7.1,294.07,100.68,214.12,3606253,1.3,1.3e-07,1e-08,7.6e-06,1e-05,2.2e-05,6e-06,       (2012 OQ),       (2012 OQ),
9213,59800,2.126,0.4803,7.25,294.55,358.35,89.98,3606264,3.1,3.1e-07,3.9e-07,1.2e-05,4.2e-05,0.0001,0.00031,       (2012 OA1),       (2012 OA1),
9214,59800,2.256,0.472,6.83,292.39,31.41,342.74,3606265,3.39,4.1e-07,1.7e-07,7.5e-06,6.7e-05,0.00021,0.00014,       (2012 OB1),       (2012 OB1),
9215,59800,2.723,0.5312,8.14,103.57,111.08,120.74,3606266,4.49,7e-08,2.6e-08,1.9e-05,7.4e-05,0.00012,2.3e-05,       (2012 OC1),       (2012 OC1),
9216,59800,2.198,0.4125,6.16,266.19,58.97,24.11,3606269,3.26,3.5e-07,1.5e-06,9.4e-06,0.00021,0.0005,0.0013,       (2012 OE1),       (2012 OE1),
9217,59800,1.365,0.351,11.61,120.95,244.93,73.56,3606270,1.6,0.00028,0.00045,0.0081,0.00093,0.0018,0.29,       (2012 OU1),       (2012 OU1),
9218,59800,2.118,0.6582,20.65,143.6,262.79,69.66,3606308,3.08,4.1e-08,8.7e-09,1.5e-05,7.9e-06,1.1e-05,6.9e-06,       (2012 OP4),       (2012 OP4),
9219,59800,2.121,0.401,8.22,136.64,182.45,83.52,3607079,3.09,5.1e-05,0.00022,0.00077,5e-05,0.00087,0.17,       (2012 OU5),       (2012 OU5),
9220,59800,1.358,0.7031,11.25,170.47,14.73,152.44,3606312,1.58,1.1e-07,1.4e-08,2e-05,6.2e-05,6.8e-05,9.1e-06,       (2012 PA),       (2012 PA),
9221,59800,2.522,0.5893,1.25,162.28,148.15,178.99,3607086,4.01,2.6e-05,9.8e-05,0.00022,0.0014,0.0018,0.085,       (2012 PN),       (2012 PN),
9222,59800,2.268,0.5655,3.4,175.51,199.67,318.89,3607372,3.42,6.8e-06,3.7e-05,2.8e-05,7.1e-05,0.00011,0.031,       (2012 PX),       (2012 PX),
9223,59800,1.768,0.5927,3.94,86.21,144.2,116.97,3607382,2.35,8.6e-07,6e-07,2.6e-05,0.00013,0.00031,0.00044,       (2012 PS4),       (2012 PS4),
9224,59800,3.017,0.5967,16.6,157.19,208.83,315.4,3607400,5.24,5.1e-08,3.4e-08,1.4e-05,1.5e-05,3.3e-05,3.2e-05,       (2012 PG5),       (2012 PG5),
9225,59800,0.8373,0.616,6.54,311.95,169.86,252.32,3607411,0.766,1.8e-07,5.8e-09,8.8e-06,2.8e-05,3.1e-05,2.9e-06,       (2012 PG6),       (2012 PG6),
9226,59800,1.754,0.3491,22.88,136.98,209.29,93.69,3607412,2.32,2.8e-07,4.9e-09,4e-05,7.5e-06,0.00018,3.6e-06,       (2012 PH6),       (2012 PH6),
9227,59800,2.135,0.4253,6.8,167.78,145.07,78.04,3607413,3.12,1.2e-06,1.4e-06,6.6e-05,7.2e-05,0.00038,0.0011,       (2012 PJ6),       (2012 PJ6),
9228,59800,1.687,0.3211,29.78,147.65,162.14,205.45,3607466,2.19,0.00024,0.00067,0.0093,0.00038,0.0036,0.48,       (2012 PN6),       (2012 PN6),
9229,59800,2.159,0.4463,8.44,286.3,12.0,60.69,3607479,3.17,8.9e-05,0.0004,0.001,0.0027,0.0063,0.32,       (2012 PO17),       (2012 PO17),
9230,59800,2.499,0.5352,5.76,242.52,67.78,190.91,3607480,3.95,4.9e-08,1e-08,5e-06,6.9e-05,7.1e-05,8.9e-06,       (2012 PP17),       (2012 PP17),
9231,59800,2.493,0.5146,12.57,317.0,38.62,185.21,3607481,3.94,8e-08,5.2e-08,1.3e-05,2.7e-05,7.6e-05,4.5e-05,       (2012 PS17),       (2012 PS17),
9232,59800,0.8941,0.1424,5.42,139.84,7.34,104.08,3607504,0.845,4.2e-05,2.4e-05,0.002,0.00037,0.0018,0.013,       (2012 PZ17),       (2012 PZ17),
9233,59800,0.8726,0.2005,1.36,318.13,172.1,281.83,3607527,0.815,8.5e-05,1.4e-05,0.0014,0.012,0.019,0.0071,       (2012 PY19),       (2012 PY19),
9234,59800,2.312,0.5412,2.33,297.79,72.93,290.55,3607528,3.52,1.3e-08,2.9e-09,2e-06,7.8e-05,8.8e-05,2.4e-06,       (2012 PZ19),       (2012 PZ19),
9235,59800,2.025,0.5829,6.79,299.83,118.84,137.42,3607529,2.88,0.00014,0.00059,0.0021,0.0034,0.0026,0.46,       (2012 PA20),       (2012 PA20),
9236,59800,1.054,0.0949,5.84,142.9,50.03,202.7,3607530,1.08,8.3e-06,5.4e-06,0.0005,0.00013,0.0017,0.003,       (2012 PB20),       (2012 PB20),
9237,59800,1.856,0.4428,3.64,136.59,191.54,339.48,3607532,2.53,0.00036,0.0012,0.0024,0.00019,0.0026,0.92,       (2012 PD20),       (2012 PD20),
9238,59800,1.324,0.4123,6.67,318.14,105.8,149.29,3607626,1.52,5.6e-08,3.6e-09,9.6e-06,2.4e-05,2.6e-05,2.3e-06,       (2012 PK24),       (2012 PK24),
9239,59800,2.147,0.4606,4.97,164.02,169.63,58.36,3607627,3.15,3.1e-05,0.00014,0.00024,4.1e-05,0.00021,0.11,       (2012 PP24),       (2012 PP24),
9240,56153,1.808,0.6738,9.62,309.94,126.84,328.37,3607665,2.43,0.0024,0.01,0.052,0.044,0.039,7.5,       (2012 PM28),       (2012 PM28),
9241,59800,2.089,0.3861,3.59,176.64,118.95,122.68,3607683,3.02,1.4e-07,1.7e-08,5.1e-06,8.3e-05,0.0001,1.3e-05,       (2012 PO28),       (2012 PO28),
9242,59800,1.99,0.6066,5.67,254.07,133.63,179.38,3607667,2.81,7.9e-08,1.1e-07,2.3e-05,0.00029,0.00029,8.5e-05,       (2012 PP28),       (2012 PP28),
9243,59800,2.189,0.5379,21.2,118.83,294.96,355.84,3607668,3.24,1.2e-07,3.3e-07,1.7e-05,2.4e-05,4.1e-05,0.00026,       (2012 PQ28),       (2012 PQ28),
9244,59800,2.206,0.4442,28.86,181.9,154.47,14.4,3607669,3.28,4e-05,0.00018,0.0013,9.1e-05,0.00079,0.15,       (2012 QJ2),       (2012 QJ2),
9245,56161,2.24,0.555,7.17,337.23,21.33,352.83,3607717,3.35,0.00096,0.0048,0.0085,0.0022,0.0027,3.9,       (2012 QV2),       (2012 QV2),
9246,59800,2.821,0.7583,5.68,22.2,47.7,29.43,3607728,4.74,2.1e-08,4.7e-08,1.2e-05,9.9e-05,9.8e-05,4.3e-05,       (2012 QC8),       (2012 QC8),
9247,59800,1.912,0.698,5.58,348.74,87.75,250.17,3607729,2.64,0.00015,0.00027,0.0054,0.022,0.0029,0.21,       (2012 QD8),       (2012 QD8),
9248,59800,2.548,0.513,0.2,131.28,93.06,205.6,3607741,4.07,1.1e-07,5.9e-08,9.1e-06,0.0016,0.0016,5.2e-05,       (2012 QG8),       (2012 QG8),
9249,59800,0.919,0.3669,19.41,140.96,356.45,319.09,3607742,0.881,4.3e-07,1.3e-08,2.2e-05,2.3e-05,5.7e-05,6.9e-06,       (2012 QH8),       (2012 QH8),
9250,59800,1.664,0.4826,5.74,262.31,188.46,173.42,3607877,2.15,3.7e-08,4.5e-08,4.5e-06,0.00011,0.00011,3.2e-05,       (2012 QO10),       (2012 QO10),
9251,59800,1.935,0.4681,3.96,65.54,227.98,270.05,3607784,2.69,2e-07,5e-08,9.1e-06,0.00012,0.00012,3.8e-05,       (2012 QQ10),       (2012 QQ10),
9252,59800,1.91,0.5274,1.09,135.83,243.96,264.15,3607819,2.64,0.00048,0.0018,0.00048,0.0033,0.0053,1.4,       (2012 QH14),       (2012 QH14),
9253,56161,2.472,0.525,15.92,145.64,162.1,5.22,3607820,3.89,0.0067,0.038,0.13,0.015,0.12,33.0,       (2012 QJ14),       (2012 QJ14),
9254,59800,2.496,0.4846,4.44,143.72,209.67,182.19,3607821,3.94,4.4e-05,0.00024,0.00031,0.00021,0.001,0.21,       (2012 QK14),       (2012 QK14),
9255,59800,0.7736,0.541,15.33,329.74,194.25,7.35,3607823,0.68,0.00047,6.2e-05,0.027,0.0023,0.0024,0.03,       (2012 QL14),       (2012 QL14),
9256,56158,1.222,0.3869,0.92,4.03,225.4,52.22,3607822,1.35,0.003,0.0037,0.0091,0.13,0.14,2.2,       (2012 QM14),       (2012 QM14),
9257,59800,2.396,0.4768,3.19,241.03,122.32,235.96,3607833,3.71,2.6e-07,4.2e-07,4e-06,0.00015,0.00019,0.00035,       (2012 QY14),       (2012 QY14),
9258,59800,1.538,0.5034,6.12,151.54,259.04,50.29,3607874,1.91,0.00062,0.0015,0.0071,0.0014,0.00091,1.0,       (2012 QZ16),       (2012 QZ16),
9259,59800,2.874,0.6319,14.24,165.84,261.87,358.49,3607924,4.87,2.4e-08,2.7e-08,1.3e-05,1.9e-05,2.4e-05,2.5e-05,       (2012 QP17),       (2012 QP17),
9260,59800,2.802,0.6425,11.32,150.51,189.46,39.91,3607957,4.69,0.00076,0.0046,0.0079,0.0031,0.0068,4.3,       (2012 QV17),       (2012 QV17),
9261,56166,2.435,0.6524,12.73,153.09,116.58,12.08,3607958,3.8,0.0018,0.012,0.026,0.0015,0.008,10.0,       (2012 QW17),       (2012 QW17),
9262,59800,2.255,0.4867,2.79,165.53,164.3,338.11,3607959,3.39,4.1e-05,0.00019,0.00017,0.00012,0.00011,0.16,       (2012 QX17),       (2012 QX17),
9263,56165,1.514,0.299,18.61,152.24,180.8,0.02,3607960,1.86,0.00086,0.002,0.031,6.6e-05,0.019,1.3,       (2012 QY17),       (2012 QY17),
9264,59800,2.508,0.5607,2.33,150.46,191.73,179.39,3607961,3.97,0.0007,0.0038,0.0024,0.005,0.014,3.3,       (2012 QZ17),       (2012 QZ17),
9265,56165,1.664,0.365,22.64,151.45,154.09,12.08,3607962,2.15,0.0016,0.0043,0.051,0.00043,0.026,3.0,       (2012 QA18),       (2012 QA18),
9266,59800,1.991,0.5528,7.5,150.68,125.39,210.53,3607963,2.81,0.00044,0.0018,0.0047,0.00081,0.0018,1.4,       (2012 QB18),       (2012 QB18),
9267,59800,2.23,0.5211,1.64,223.98,124.88,351.44,3607964,3.33,0.00076,0.0036,0.0014,0.004,0.012,2.9,       (2012 QC18),       (2012 QC18),
9268,56166,1.764,0.435,8.41,153.0,145.83,12.98,3607965,2.34,0.0024,0.008,0.039,0.0002,0.13,5.8,       (2012 QD18),       (2012 QD18),
9269,59800,2.319,0.5462,4.98,152.94,237.88,279.5,3608091,3.53,3.7e-08,1.4e-08,6.5e-06,3.5e-05,4.2e-05,1.2e-05,       (2012 QF42),       (2012 QF42),
9270,59800,1.026,0.3744,6.81,344.78,116.18,123.56,3608092,1.04,8.9e-08,5.7e-09,3.9e-06,3.7e-06,6.5e-06,3.2e-06,       (2012 QG42),       (2012 QG42),
9271,59800,1.816,0.3531,10.12,131.93,256.08,358.72,3608218,2.45,7.3e-07,2.9e-07,5.7e-05,0.00026,0.00063,0.00021,       (2012 QJ45),       (2012 QJ45),
9272,56167,2.172,0.5233,3.0,333.6,335.62,7.44,3608219,3.2,0.002,0.0091,0.008,0.0037,0.015,7.3,       (2012 QK45),       (2012 QK45),
9273,59800,1.195,0.3698,4.98,291.58,150.08,157.62,3608323,1.31,5.5e-07,2.7e-08,3.6e-05,0.00049,0.00053,1.6e-05,       (2012 QG49),       (2012 QG49),
9274,59800,2.702,0.5992,38.29,155.51,160.38,87.87,3608324,4.44,0.00031,0.0024,0.012,0.0019,0.008,2.2,       (2012 QH49),       (2012 QH49),
9275,59800,1.733,0.4408,11.9,193.92,224.88,97.11,3608326,2.28,3e-08,1.2e-08,6e-06,8.1e-06,1.2e-05,8.8e-06,       (2012 QE50),       (2012 QE50),
9276,59800,1.717,0.5044,9.42,244.32,201.65,101.62,3608404,2.25,4.4e-08,7.1e-09,6.4e-06,9.7e-05,9.7e-05,5.1e-06,       (2012 QQ50),       (2012 QQ50),
9277,59800,1.526,0.1722,22.92,359.44,330.83,118.92,3608405,1.89,6e-07,1.3e-07,3.1e-05,2.1e-05,0.00023,8.6e-05,       (2012 QR50),       (2012 QR50),
9278,59800,2.531,0.514,26.11,313.94,105.58,141.12,3608427,4.03,5.2e-07,3.1e-08,4.3e-05,2e-05,7.8e-05,2.7e-05,       (2012 RO1),       (2012 RO1),
9279,59800,1.749,0.4107,3.21,122.25,238.92,96.64,3608473,2.31,7.6e-06,2.3e-05,5.1e-05,0.00012,0.00011,0.017,       (2012 RL2),       (2012 RL2),
9280,59800,2.051,0.5189,4.85,192.19,111.69,146.21,3608474,2.94,9.3e-08,3.5e-08,7.4e-06,5.7e-05,8.7e-05,2.8e-05,       (2012 RM2),       (2012 RM2),
9281,56181,2.121,0.4901,45.67,164.96,139.97,16.94,3608475,3.09,0.0011,0.0051,0.037,0.008,0.044,4.1,       (2012 RB3),       (2012 RB3),
