solution_id,number_mp,designation,mag_h,slope_g,code,obs_arc,obs_num,osc_epoch,orb_m,omega,node_omega,inclination,eccentricity,a,orb_date,ceu,ceu_rate,ceu_epoch
4427920383700574337,4214,veralynn,12.9,0.15,0,23485,1671,20180323,342.187343,83.475133,13.940129,3.548233,0.1294204,2.41888992,20180204,0.017,-4.2E-5,20180228
4427920383700574337,4215,kamo,12.6,0.15,0,13035,1982,20180323,258.524423,279.317173,246.738316,5.753054,0.06213001,2.41724349,20180204,0.014,-3.2E-5,20180228
4427920383700574337,4217,engelhardt,12.3,0.15,0,26638,1353,20180323,328.166386,348.855262,355.427498,23.128062,0.21165937,2.3140336,20171010,0.029,5.5E-5,20180228
4427920383700574337,4218,demottoni,13.8,0.15,0,24899,1732,20180323,247.049622,37.093223,209.577616,4.902709,0.14450591,2.24700418,20180204,0.023,-1.6E-4,20180228
4427920383700574337,4219,nakamura,13.6,0.15,0,14352,1692,20180323,235.37308,64.688561,140.63824,3.086949,0.12293193,2.46727811,20180204,0.016,-6.4E-5,20180228
4427920383700574337,4220,flood,13.5,0.15,0,23246,1485,20180323,190.111774,233.088281,220.972826,6.998889,0.19414362,2.80176393,20171010,0.022,5.6E-5,20180228
4427920383700574337,4221,picasso,12.6,0.15,16000,22776,1425,20180323,357.098466,38.895144,187.963356,17.192084,0.12752273,2.61990295,20180204,0.038,2.7E-4,20180228
4427920383700574337,4223,shikoku,10.8,0.15,0,23482,1787,20180323,147.577415,84.001761,269.224124,9.250168,0.10927054,3.00495618,20180204,0.029,-8.4E-5,20180228
4427920383700574337,4224,susa,11.3,0.15,0,20836,1756,20180323,229.420406,181.21882,200.870057,12.121875,0.18585475,2.92124255,20180204,0.025,1.3E-4,20180228
4427920383700574337,4225,hobart,13.0,0.15,0,23067,2188,20180323,60.174529,258.896894,61.985022,3.483273,0.10735516,2.2416754,20180204,0.011,-1.2E-6,20180228
4427920383700574337,4227,kaali,13.4,0.15,0,27581,1691,20180323,183.48221,20.18229,133.01863,2.707485,0.15236929,2.39560356,20171010,0.014,-2.1E-6,20180228
4427920383700574337,4228,nemiro,14.1,0.15,0,18083,1961,20180323,47.91733,113.447937,223.175463,5.271898,0.13662687,2.30416328,20180204,0.012,-1.8E-5,20180228
4427920383700574337,4229,plevitskaya,13.6,0.15,0,29160,1647,20180323,335.198244,323.203998,161.200115,5.166276,0.17717978,2.37362502,20180204,0.019,-5.6E-5,20180228
4427920383700574337,4230,van den bergh,11.7,0.15,2000,24000,1715,20180323,65.498872,20.88918,160.468841,3.099477,0.13375006,3.95023395,20171010,0.026,1.0E-4,20180228
4427920383700574337,4231,fireman,13.3,0.15,0,15042,1549,20180323,158.208677,76.948405,261.053334,8.590611,0.06637061,2.25950542,20180204,0.029,-1.9E-4,20180228
4427920383700574337,4232,aparicio,13.7,0.15,0,14649,1150,20180323,136.883072,277.899479,182.534306,21.702075,0.08340718,1.9363066,20170513,0.022,1.3E-4,20180228
4427920383700574337,4233,pal''chikov,13.7,0.15,4000,15111,1728,20180323,16.242221,112.332531,184.846093,3.831298,0.18665535,2.39958664,20171010,0.02,-5.9E-6,20180228
4427920383700574337,4234,evtushenko,12.5,0.15,0,28654,1749,20180323,317.351421,226.673706,43.774239,1.684119,0.16952654,3.20723764,20180204,0.036,2.6E-4,20180228
4427920383700574337,4235,tatishchev,12.1,0.15,0,19614,2035,20180323,345.007725,299.924269,331.326864,1.218607,0.03531961,2.98326589,20171010,0.023,1.1E-4,20180228
4427920383700574337,4236,lidov,11.3,0.15,0,30615,1789,20180323,79.388009,147.098346,348.984165,7.274858,0.034029,3.45059262,20180204,0.033,1.9E-4,20180228
4427920383700574337,4237,raushenbakh,13.0,0.15,0,22917,1517,20180323,327.67925,346.666872,29.225589,3.161734,0.09411972,2.64556891,20171010,0.022,4.1E-6,20180228
4427920383700574337,4238,audrey,13.2,0.15,0,14110,2045,20180323,58.295302,41.125529,144.98113,1.848044,0.07464526,2.40729126,20170722,0.02,8.6E-5,20180228
4427920383700574337,4239,goodman,14.1,0.15,4010,14721,1503,20180323,272.837683,19.921799,294.808352,1.278697,0.18648706,2.17448961,20180204,0.032,2.8E-4,20180228
